Models,MIA,Test Top-1,HV,f_1,f_2
Original Model,0.182,0.8906000000000001,0.0,-0.9880560040473938,0.9892603900509426
Retrained Model,0.201,0.8848,0.0,-0.9910358190536499,0.9951189703149798
Unlearned Model,0.199,0.8876000000000001,0.0,0.199,0.8876000000000001
Unlearned Model,0.68,0.3335,0.0,0.68,0.3335
Unlearned Model,0.695,0.34979999999999994,0.0,0.695,0.34979999999999994
Unlearned Model,0.677,0.475,0.0,0.677,0.475
Unlearned Model,0.673,0.4915,0.0,0.673,0.4915
Unlearned Model,0.663,0.4988,0.0,0.663,0.4988
Unlearned Model,0.687,0.442,0.0,0.687,0.442
Unlearned Model,0.535,0.6872,0.0,0.535,0.6872
Unlearned Model,0.598,0.6339,0.0,0.598,0.6339
Unlearned Model,0.608,0.6244,0.0,0.608,0.6244
Unlearned Model,0.676,0.44439999999999996,0.0,0.676,0.44439999999999996
Unlearned Model,0.63,0.606,0.0,0.63,0.606
Unlearned Model,0.458,0.7562000000000001,0.0,0.458,0.7562000000000001
Unlearned Model,0.477,0.7356,0.0,0.477,0.7356
Unlearned Model,0.648,0.5838,0.0,0.648,0.5838
Unlearned Model,0.269,0.8682,0.0,0.269,0.8682
Unlearned Model,0.522,0.7078,0.0,0.522,0.7078
Unlearned Model,0.669,0.4056,0.0,0.669,0.4056
Unlearned Model,0.277,0.8628,0.0,0.277,0.8628
Unlearned Model,0.694,0.4667,0.0,0.694,0.4667
Unlearned Model,0.493,0.7287,0.0,0.493,0.7287
Unlearned Model,0.658,0.5318999999999999,0.0,0.658,0.5318999999999999
Unlearned Model,0.233,0.8848999999999999,0.0,0.233,0.8848999999999999
Unlearned Model,0.541,0.6692,0.0,0.541,0.6692
Unlearned Model,0.66,0.5113,0.0,0.66,0.5113
Unlearned Model,0.379,0.8035,0.0,0.379,0.8035
Unlearned Model,0.247,0.8793000000000001,0.0,0.247,0.8793000000000001
Unlearned Model,0.545,0.6940000000000001,0.0,0.545,0.6940000000000001
Unlearned Model,0.365,0.809,0.0,0.365,0.809
Unlearned Model,0.673,0.4233,0.0,0.673,0.4233
Unlearned Model,0.332,0.8353,0.0,0.332,0.8353
Unlearned Model,0.637,0.581,0.0,0.637,0.581
Unlearned Model,0.357,0.8167,0.0,0.357,0.8167
Unlearned Model,0.378,0.8003,0.0,0.378,0.8003
Unlearned Model,0.43,0.7689,0.0,0.43,0.7689
Unlearned Model,0.639,0.5756,0.0,0.639,0.5756
Unlearned Model,0.553,0.6486,0.0,0.553,0.6486
Unlearned Model,0.363,0.8119,0.0,0.363,0.8119
Unlearned Model,0.353,0.8233,0.0,0.353,0.8233
Unlearned Model,0.524,0.7001000000000001,0.0,0.524,0.7001000000000001
Unlearned Model,0.542,0.6670999999999999,0.0,0.542,0.6670999999999999
Unlearned Model,0.618,0.6183,0.0,0.618,0.6183
Unlearned Model,0.352,0.825,0.0,0.352,0.825
Unlearned Model,0.474,0.7453,0.0,0.474,0.7453
Unlearned Model,0.648,0.5615,0.0,0.648,0.5615
Unlearned Model,0.673,0.4065,0.0,0.673,0.4065
Unlearned Model,0.42,0.7815000000000001,0.0,0.42,0.7815000000000001
Unlearned Model,0.655,0.5726,0.0,0.655,0.5726
Unlearned Model,0.474,0.7443000000000001,0.0,0.474,0.7443000000000001
Unlearned Model,0.664,0.4227,0.0,0.664,0.4227
